File,Number of Tasks,Task Depth,Total Processes,Number of Cities,Max Communication Time (s),Max Computation Time (s),Elapsed Total Time (s)
d3_p16,240,3,16,17,40.712162,83.871462,83.875296
d3_p32,240,3,32,17,55.958144,75.162025,75.169687
d3_p48,240,3,48,17,39.484135,55.449918,55.396877
d3_p64,240,3,64,17,43.884201,54.668934,54.732135
d4_p16,3360,4,16,17,32.815455,67.717038,67.723863
d4_p32,3360,4,32,17,26.409826,46.144307,46.153183
d4_p48,3360,4,48,17,21.348533,36.934898,36.940971
d4_p64,3360,4,64,17,17.093405,31.03427,31.039359
d5_p16,43680,5,16,17,27.260883,53.678684,53.681139
d5_p32,43680,5,32,17,19.260243,38.304457,38.311029
d5_p48,43680,5,48,17,16.910975,29.499493,29.504623
d5_p64,43680,5,64,17,13.321075,24.27618,24.279057
d6_p16,524160,6,16,17,23.312924,47.511943,47.514394
d6_p32,524160,6,32,17,18.695993,31.979912,31.99653
d6_p48,524160,6,48,17,16.03759,24.776337,24.814721
d6_p64,524160,6,64,17,13.046481,19.75903,19.761998
